ID,اسم المشروع,المجال,الوصف,الفئة المستهدفة
1,عين جدة,المدن الذكية,تعاني بعض أحياء المدن الكبرى من تأخر اكتشاف الأعطال والمخاطر الميدانية. يقدم المشروع منصة تعتمد على كاميرات الطرق والذكاء الاصطناعي لرصد الحوادث والتلفيات وإرسال تنبيهات فورية للجهات المختصة.,البلديات وسكان المدن
2,سند,المالية التقنية,يواجه الأفراد صعوبة في تنظيم الالتزامات المالية والادخار. يوفر التطبيق تحليلاً ذكيًا للمصروفات مع خطط ادخار مخصصة وتنبيهات مالية استباقية.,الأفراد والعائلات
3,راحة,الصحة الرقمية,يعاني كبار السن من ضعف المتابعة الصحية اليومية. يقدم المشروع سوارًا ذكيًا يراقب المؤشرات الحيوية ويرسل تنبيهات فورية لأفراد العائلة أو الجهات الطبية.,كبار السن ومقدمو الرعاية
4,درع,الأمن السيبراني,تتعرض المنشآت الصحية لمحاولات اختراق وتسريب بيانات حساسة. يوفر النظام مراقبة لحظية للشبكات واكتشافًا مبكرًا للهجمات السيبرانية باستخدام الذكاء الاصطناعي.,المستشفيات والمنشآت الصحية
5,بيتي بلس,التقنية العقارية,يواجه ملاك المنازل صعوبة في متابعة استهلاك الطاقة والصيانة المنزلية. يقدم التطبيق لوحة تحكم ذكية لإدارة الأجهزة المنزلية وجدولة الصيانة الدورية.,الأسر وملاك المنازل
6,وصل,النقل الذكي,تعاني المدن من ضعف تكامل وسائل النقل المختلفة. يوفر المشروع منصة موحدة تربط الحافلات وسيارات الأجرة والدراجات الكهربائية في تجربة تنقل واحدة.,سكان المدن والجهات التنظيمية
7,نبض السوق,التجارة الإلكترونية,تعاني المتاجر الصغيرة من ضعف فهم سلوك العملاء. يقدم النظام تحليلات ذكية للمبيعات والتوصيات الشرائية لتحسين الأرباح.,أصحاب المتاجر الصغيرة والمتوسطة
8,مزارع,التقنية الزراعية,يواجه المزارعون هدرًا في استهلاك المياه وصعوبة في مراقبة المحاصيل. يستخدم المشروع حساسات وإنترنت الأشياء لتحليل التربة وجدولة الري تلقائيًا.,المزارعون والشركات الزراعية
9,أمان الطرق,السلامة المرورية,تزداد الحوادث الناتجة عن الإرهاق والسرعة. يعتمد المشروع على تحليل سلوك السائق بالكاميرات وإرسال تنبيهات وقائية قبل وقوع الحوادث.,السائقون وشركات النقل
10,شفاء,الرعاية الصحية,يعاني المرضى من صعوبة الوصول إلى الخدمات الطبية السريعة. يوفر التطبيق استشارات فورية وحجزًا ذكيًا للمواعيد وربطًا مباشرًا مع الصيدليات.,المرضى والعيادات
11,خطوة,الرياضة والصحة,يواجه الكثيرون صعوبة في الالتزام بالعادات الصحية. يقدم التطبيق خططًا رياضية وغذائية تفاعلية مدعومة بالتحفيز والتحديات اليومية.,الشباب والمهتمون بالصحة
12,ترحال,السياحة,يجد السياح صعوبة في اكتشاف التجارب المحلية المميزة. يوفر المشروع دليلاً ذكياً يوصي بالأنشطة والمواقع بناءً على اهتمامات المستخدم.,السياح والزوار
13,مداد,التعليم,يعاني الطلاب من ضعف الوصول إلى شرح مبسط للمناهج. يقدم النظام مساعدًا تعليمياً تفاعليًا يشرح الدروس ويولد اختبارات مخصصة.,الطلاب والمعلمون
14,تمكين,الموارد البشرية,تواجه الشركات تحديات في تقييم مهارات الموظفين. يوفر المشروع منصة لاختبارات المهارات وتحليل الأداء واقتراح مسارات تطوير وظيفية.,الشركات والموظفون
15,سقيا,الاستدامة البيئية,تعاني بعض المناطق من هدر المياه وصعوبة مراقبة الاستهلاك. يقدم المشروع عدادات ذكية وتقارير استهلاك فورية لتحسين كفاءة استخدام المياه.,الأسر والجهات البلدية
16,رقيب,الأمن والسلامة,تتأخر الاستجابة أحيانًا للحوادث داخل المنشآت الصناعية. يعتمد المشروع على حساسات ذكية تكتشف الحرائق أو التسربات وترسل إنذارات فورية.,المصانع والمنشآت الصناعية
17,إسناد,الخدمات الحكومية,يواجه المستخدمون صعوبة في متابعة المعاملات الحكومية المتعددة. يوفر التطبيق منصة موحدة لتتبع الطلبات والتنبيهات والمواعيد.,المواطنون والمقيمون
18,صحتك أولاً,التأمين الصحي,يعاني العملاء من تعقيد إجراءات التأمين الطبي. يقدم النظام إدارة رقمية للمطالبات الطبية والتحقق السريع من التغطية.,شركات التأمين والعملاء
19,بصمة,الموارد البشرية,تعاني الشركات من ارتفاع معدل دوران الموظفين. يحلل المشروع رضا الموظفين ويقترح حلولًا لتحسين بيئة العمل.,الشركات وفرق الموارد البشرية
20,مرشد,الذكاء الاصطناعي,يحتاج رواد الأعمال إلى دعم سريع لاتخاذ القرارات. يوفر المشروع مساعدًا ذكياً لتحليل الأفكار التجارية ودراسة جدواها الأولية.,رواد الأعمال
21,إشراق,الطاقة,تعاني المباني من ارتفاع استهلاك الكهرباء. يقدم النظام مراقبة ذكية للاستهلاك واقتراحات فورية لتقليل الهدر.,الشركات وملاك المباني
22,دليل,الخدمات اللوجستية,تواجه شركات التوصيل تحديات في تحسين المسارات. يعتمد المشروع على الذكاء الاصطناعي لتقليل زمن التوصيل واستهلاك الوقود.,شركات الشحن والتوصيل
23,وقاية,الصحة العامة,يصعب أحيانًا تتبع انتشار الأمراض المعدية في الأماكن المزدحمة. يوفر المشروع لوحة بيانات تنبؤية تساعد الجهات الصحية على التدخل المبكر.,الجهات الصحية
24,رفيق,الخدمات الاجتماعية,يعاني ذوو الإعاقة من صعوبة الوصول للخدمات المناسبة. يقدم التطبيق خريطة تفاعلية للمواقع والخدمات المهيأة.,ذوو الإعاقة وعائلاتهم
25,حصاد,الأمن الغذائي,تواجه الأسواق هدرًا في المنتجات الغذائية قبل بيعها. يربط المشروع المتاجر والجمعيات الخيرية لإعادة توزيع الفائض الغذائي.,المتاجر والجمعيات الخيرية
26,تعافي,الصحة النفسية,يعاني كثير من الشباب من صعوبة الوصول للدعم النفسي المبكر. يقدم التطبيق جلسات إرشاد وتمارين متابعة يومية بسرية عالية.,الشباب والطلاب
27,موجّه,التوظيف,يعاني الخريجون من ضعف التوجيه المهني. يوفر المشروع تحليلاً للمهارات وربطًا ذكيًا بالفرص التدريبية والوظيفية المناسبة.,الخريجون والباحثون عن عمل
28,أسواق,التجارة,تواجه الأسر المنتجة صعوبة في التسويق الرقمي. يوفر التطبيق متجرًا موحدًا مع أدوات دفع وشحن سهلة.,الأسر المنتجة ورواد الأعمال
29,رؤية,تحليل البيانات,تفتقر بعض الجهات إلى قرارات مبنية على بيانات دقيقة. يقدم المشروع لوحات تحليلية تفاعلية تدعم اتخاذ القرار.,الشركات والجهات الحكومية
30,حيّاك,الضيافة,يعاني الزوار من تشتت خدمات الضيافة والحجوزات. يجمع التطبيق الإقامة والمواصلات والفعاليات في منصة واحدة.,السياح والزوار
31,إمداد,الرعاية المنزلية,تواجه العائلات صعوبة في تنسيق خدمات الرعاية المنزلية. يوفر المشروع نظام حجز ومتابعة للممرضين ومقدمي الرعاية.,العائلات ومقدمو الرعاية
32,بيان,الإعلام الرقمي,تنتشر الأخبار المضللة بسرعة عبر المنصات الاجتماعية. يعتمد المشروع على الذكاء الاصطناعي للتحقق من المحتوى وكشف الأخبار الزائفة.,المستخدمون والمؤسسات الإعلامية
